"X","BC07_tumor","BC07","BC08_tumor","BC08","BC09_tumor","BC09","BC10_tumor","BC10","GENENAME"
"Casd1",320,333,574,514,530,432,592,551,"CAS1 domain containing 1"
"Sgce",232,131,524,465,344,67,525,446,"sarcoglycan, epsilon"
"Peg10",1002,2046,1398,7770,302,290,1502,2912,"paternally expressed 10"
"Gmfg-ps",0,1,1,0,2,0,0,0,"glia maturation factor, gamma, pseudogene"
"Ppp1r9a",167,218,60,307,291,89,96,176,"protein phosphatase 1, regulatory subunit 9A"
"Pon1",0,0,0,0,0,0,0,0,"paraoxonase 1"
"Pon3",372,221,703,258,469,219,624,595,"paraoxonase 3"
"Pon2",424,310,1281,352,558,308,580,519,"paraoxonase 2"
"Asb4",11,11,46,146,15,11,27,14,"ankyrin repeat and SOCS box-containing 4"
"Pdk4",102,148,102,226,51,36,83,89,"pyruvate dehydrogenase kinase, isoenzyme 4"
"Dync1i1",41,38,16,1,1,1,1,4,"dynein cytoplasmic 1 intermediate chain 1"
"Slc25a13",782,1045,434,176,554,842,430,823,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13"
"Sem1",1072,1244,862,1134,1136,945,902,1340,"SEM1, 26S proteasome complex subunit"
"Dlx6",38,99,0,10,2,1,0,0,"distal-less homeobox 6"
"Dlx5",271,394,2,44,4,3,0,1,"distal-less homeobox 5"
"Sdhaf3",98,87,58,79,99,83,70,72,"succinate dehydrogenase complex assembly factor 3"
"Tac1",0,0,0,0,0,1,0,0,"tachykinin 1"
"Asns",3983,4517,3471,3440,10006,5241,3758,3939,"asparagine synthetase"
"C1galt1",233,350,1099,479,951,675,525,596,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1"
"Col28a1",0,0,161,170,69,3,70,15,"collagen, type XXVIII, alpha 1"
"Mios",691,823,671,716,936,856,570,749,"meiosis regulator for oocyte development"
"Rpa3",505,612,355,611,638,467,400,552,"replication protein A3"
"Umad1",161,183,230,157,281,211,232,227,"UMAP1-MVP12 associated (UMA) domain containing 1"
"Glcci1",217,325,182,266,262,297,161,400,"glucocorticoid induced transcript 1"
"Ica1",296,329,114,126,643,307,233,529,"islet cell autoantigen 1"
"Nxph1",0,0,4,0,0,0,3,0,"neurexophilin 1"
"Ndufa4",2141,2356,1360,1909,2186,1670,1504,2160,"Ndufa4, mitochondrial complex associated"
"Phf14",797,930,669,862,987,887,725,846,"PHD finger protein 14"
"Thsd7a",34,10,469,134,684,780,494,607,"thrombospondin, type I, domain containing 7A"
"Tmem106b",1097,1121,2454,1627,2836,2179,1951,2444,"transmembrane protein 106B"
"Vwde",1,1,0,0,0,0,0,4,"von Willebrand factor D and EGF domains"
"Gm725",0,0,0,0,0,0,0,0,"predicted gene 725"
"Tmem168",637,704,1059,680,749,641,643,856,"transmembrane protein 168"
"Gpr85",11,17,25,2,25,5,79,61,"G protein-coupled receptor 85"
"Smim30",315,371,510,322,406,292,461,622,"small integral membrane protein 30"
"Ppp1r3a",0,0,14,0,0,0,5,0,"protein phosphatase 1, regulatory subunit 3A"
"Foxp2",159,92,222,18,275,116,50,21,"forkhead box P2"
"Mdfic",621,524,1370,467,1705,799,1228,1184,"MyoD family inhibitor domain containing"
"Tfec",0,0,23,0,7,2,6,0,"transcription factor EC"
"Tes",402,578,2464,517,903,982,2000,2183,"testin LIM domain protein"
"Cav2",278,355,791,569,455,605,672,1118,"caveolin 2"
"Cav1",582,701,4710,1944,1251,4092,4288,6193,"caveolin 1, caveolae protein"
"Met",151,407,449,355,594,771,890,2063,"met proto-oncogene"
"Capza2",2143,2901,3341,2590,3271,3903,3382,4613,"capping actin protein of muscle Z-line subunit alpha 2"
"St7",348,312,417,354,417,307,371,414,"suppression of tumorigenicity 7"
"Wnt2",5,2,122,4,74,1,56,2,"wingless-type MMTV integration site family, member 2"
"Asz1",3,0,12,0,6,0,11,0,"ankyrin repeat, SAM and basic leucine zipper domain containing 1"
"Cftr",6,15,1,2,5,3,0,0,"cystic fibrosis transmembrane conductance regulator"
"Cttnbp2",14,28,48,242,28,3,27,5,"cortactin binding protein 2"
"Lsm8",564,688,484,613,675,695,464,763,"LSM8 homolog, U6 small nuclear RNA associated"
"Ankrd7",4,14,3,2,5,6,2,12,"ankyrin repeat domain 7"
"Kcnd2",2,7,7,0,0,0,2,3,"potassium voltage-gated channel, Shal-related family, member 2"
"Tspan12",124,118,479,289,132,46,106,106,"tetraspanin 12"
"Ing3",521,556,239,510,540,534,350,569,"inhibitor of growth family, member 3"
"Cped1",319,128,412,146,834,731,259,220,"cadherin-like and PC-esterase domain containing 1"
"Wnt16",10,3,124,686,4,0,8,31,"wingless-type MMTV integration site family, member 16"
"Fam3c",850,1063,1394,1168,976,1226,1285,1482,"FAM3 metabolism regulating signaling molecule C"
"Ptprz1",1,0,79,37,31,1,7,6,"protein tyrosine phosphatase receptor type Z, polypeptide 1"
"Aass",0,0,8,3,23,1,3,5,"aminoadipate-semialdehyde synthase"
"Fezf1",0,0,0,0,0,0,0,0,"Fez family zinc finger 1"
"Cadps2",1,0,3,2,12,5,2,0,"Ca2+-dependent activator protein for secretion 2"
"Rnf133",0,0,0,0,0,0,0,0,"ring finger protein 133"
"Rnf148",0,0,0,0,0,0,0,0,"ring finger protein 148"
"Tas2r118",0,0,0,0,0,0,0,0,"taste receptor, type 2, member 118"
"Slc13a1",0,0,0,0,0,0,0,0,"solute carrier family 13 (sodium/sulfate symporters), member 1"
"Iqub",0,0,0,1,2,0,0,0,"IQ motif and ubiquitin domain containing"
"Ndufa5",640,688,426,638,602,605,420,527,"NADH:ubiquinone oxidoreductase subunit A5"
"Asb15",0,0,1,9,0,0,1,2,"ankyrin repeat and SOCS box-containing 15"
"Lmod2",0,0,10,0,0,0,0,2,"leiomodin 2 (cardiac)"
"Wasl",1216,1427,1103,1137,1665,1583,1058,1923,"WASP like actin nucleation promoting factor"
"Hyal6",0,0,0,0,0,0,0,0,"hyaluronoglucosaminidase 6"
"Hyal4",0,0,0,0,0,0,0,0,"hyaluronoglucosaminidase 4"
"Spam1",0,0,0,0,0,0,0,0,"sperm adhesion molecule 1"
"Hyal5",0,0,0,0,0,0,0,0,"hyaluronoglucosaminidase 5"
"Tmem229a",0,0,0,1,6,0,2,0,"transmembrane protein 229A"
"Gpr37",63,35,1,2,35,0,0,0,"G protein-coupled receptor 37"
"Pot1a",502,545,363,572,711,494,359,625,"protection of telomeres 1A"
"Grm8",0,0,0,4,0,0,0,0,"glutamate receptor, metabotropic 8"
"Zfp800",505,427,534,395,583,710,483,789,"zinc finger protein 800"
"Gcc1",283,274,407,396,620,409,406,340,"golgi coiled coil 1"
"Arf5",1244,1021,1438,1430,1557,1143,1437,1193,"ARF GTPase 5"
"Fscn3",2,1,0,0,0,0,0,2,"fascin actin-bundling protein 3"
"Pax4",0,0,0,0,0,0,0,0,"paired box 4"
"Snd1",5468,6364,5481,7447,7058,8157,5943,7616,"staphylococcal nuclease and tudor domain containing 1"
"Lrrc4",2,4,1,0,3,3,4,0,"leucine rich repeat containing 4"
"LOC118567373",0,0,0,0,0,0,0,0,"uncharacterized LOC118567373"
"Lep",0,2,0,0,0,0,0,0,"leptin"
"Rbm28",1693,1935,1469,1903,1926,2965,1590,3023,"RNA binding motif protein 28"
"Prrt4",2,1,15,30,2,1,1,4,"proline-rich transmembrane protein 4"
"Impdh1",1553,2036,1600,1478,1765,2831,1521,2644,"inosine monophosphate dehydrogenase 1"
"Hilpda",197,204,190,170,320,297,229,320,"hypoxia inducible lipid droplet associated"
"Garin1a",16,21,4,2,9,11,11,11,"golgi associated RAB2 interactor 1A"
"Garin1b",4,1,5,3,14,7,9,30,"golgi associated RAB2 interactor 1B"
"Calu",8178,9532,19674,8562,11434,9719,13502,13300,"calumenin"
"Opn1sw",3,4,13,4,3,5,0,9,"opsin 1 (cone pigments), short-wave-sensitive (color blindness, tritan)"
"Ccdc136",23,27,238,258,267,136,114,104,"coiled-coil domain containing 136"
"Flnc",685,559,11269,6615,6405,11216,4579,7160,"filamin C, gamma"
"Atp6v1f",991,776,762,733,1067,920,794,761,"ATPase, H+ transporting, lysosomal V1 subunit F"
"Spmip1",1,0,0,0,0,0,0,0,"sperm microtubule inner protein 1"
"Kcp",2,9,60,8,47,4,22,7,"kielin/chordin-like protein"
"Irf5",15,5,160,88,26,34,44,82,"interferon regulatory factor 5"
"Tnpo3",2032,2809,2234,2430,2876,3457,2069,3645,"transportin 3"
"Tspan33",99,231,19,2,60,67,13,33,"tetraspanin 33"
"Smo",3302,4126,2603,3600,2720,2831,2808,4368,"smoothened, frizzled class receptor"
"Ahcyl2",370,447,394,549,495,611,308,646,"S-adenosylhomocysteine hydrolase-like 2"
"Strip2",12,7,12,1,0,15,8,5,"striatin interacting protein 2"
"Nrf1",778,979,785,920,1100,1231,744,1222,"nuclear respiratory factor 1"
"Ube2h",1411,1684,2269,2258,2811,1634,2030,1873,"ubiquitin-conjugating enzyme E2H"
"Zc3hc1",905,1085,539,904,1193,1119,811,1098,"zinc finger, C3HC type 1"
"Klhdc10",1807,2101,1415,2024,2275,1530,1715,2182,"kelch domain containing 10"
"Tmem209",947,1142,832,1266,1130,1497,985,1908,"transmembrane protein 209"
"Ssmem1",2,0,3,0,4,0,3,1,"serine-rich single-pass membrane protein 1"
"Cpa2",0,3,4,1,2,2,3,17,"carboxypeptidase A2, pancreatic"
"Cpa4",0,1,4,10,0,0,0,0,"carboxypeptidase A4"
"Cpa5",0,0,0,0,0,0,0,0,"carboxypeptidase A5"
"Cpa1",1,0,0,0,0,0,3,0,"carboxypeptidase A1, pancreatic"
"Cep41",217,250,187,334,274,144,226,276,"centrosomal protein 41"
"Mest",499,643,278,1732,78,72,301,271,"mesoderm specific transcript"
"Copg2",475,656,433,770,791,435,548,549,"coatomer protein complex, subunit gamma 2"
"Tsga13",0,1,0,6,0,0,0,0,"testis specific gene A13"
"Klf14",0,0,0,1,0,0,0,0,"Kruppel-like transcription factor 14"
"Mkln1",1429,1810,1012,1234,1135,1466,978,1447,"muskelin 1, intracellular mediator containing kelch motifs"
"Podxl",2426,3572,630,285,707,402,106,326,"podocalyxin-like"
"1700012A03Rik",0,0,0,0,0,0,0,0,"RIKEN cDNA 1700012A03 gene"
"Plxna4",18,27,204,404,18,7,72,48,"plexin A4"
"Chchd3",1126,1279,1028,1176,1679,1489,1135,1609,"coiled-coil-helix-coiled-coil-helix domain containing 3"
"Exoc4",809,884,1281,1359,1139,1125,892,857,"exocyst complex component 4"
"Lrguk",38,53,13,113,45,14,19,53,"leucine-rich repeats and guanylate kinase domain containing"
"Slc35b4",707,793,1889,1292,1058,1092,973,1212,"solute carrier family 35, member B4"
"Akr1b1",3085,3371,2436,2706,3042,8032,3523,6473,"aldo-keto reductase family 1 member B"
"Akr1b8",103,60,822,390,447,502,751,839,"aldo-keto reductase family 1, member B8"
"Akr1b10",168,143,291,204,178,64,191,156,"aldo-keto reductase family 1, member B10"
"Akr1b7",0,3,0,3,3,0,0,1,"aldo-keto reductase family 1, member B7"
"Bpgm",244,309,643,297,280,308,490,1082,"2,3-bisphosphoglycerate mutase"
"Cald1",7510,8515,36597,12108,15621,11229,21189,22168,"caldesmon 1"
"Agbl3",85,52,45,114,58,46,47,75,"ATP/GTP binding protein-like 3"
"Tmem140",38,31,4,7,10,8,15,16,"transmembrane protein 140"
"Cyren",91,101,65,114,119,58,55,122,"cell cycle regulator of NHEJ"
"Wdr91",314,297,227,439,564,202,285,284,"WD repeat domain 91"
"Stra8",0,0,0,4,0,0,0,0,"stimulated by retinoic acid gene 8"
"Slc23a4",6,4,0,4,4,2,4,1,"solute carrier family 23 member 4"
"Cnot4",652,562,563,589,633,783,425,776,"CCR4-NOT transcription complex, subunit 4"
"Nup205",4304,5557,3143,4812,5124,6987,4001,8473,"nucleoporin 205"
"Stmp1",919,775,688,1102,931,848,711,827,"short transmembrane mitochondrial protein 1"
"Slc13a4",36,72,2,28,2,2,0,1,"solute carrier family 13 (sodium/sulfate symporters), member 4"
"Fam180a",656,211,3,87,16,15,13,18,"family with sequence similarity 180, member A"
"Mtpn",3438,4402,9395,4588,6046,5574,5916,7817,"myotrophin"
"Chrm2",0,0,4,3,0,0,0,0,"cholinergic receptor, muscarinic 2, cardiac"
"Ptn",53,345,570,16194,25,6,2103,4053,"pleiotrophin"
"Dgki",1,5,8,58,15,0,9,30,"diacylglycerol kinase, iota"
"Creb3l2",471,550,1675,1032,915,444,781,808,"cAMP responsive element binding protein 3-like 2"
"Akr1d1",0,1,0,0,0,0,0,0,"aldo-keto reductase family 1, member D1"
"Trim24",563,707,1022,1176,1152,1611,865,1397,"tripartite motif-containing 24"
"Svopl",1,3,0,0,0,0,0,0,"SV2 related protein homolog (rat)-like"
"Atp6v0a4",24,26,18,26,19,22,21,21,"ATPase, H+ transporting, lysosomal V0 subunit A4"
"Tmem213",0,0,0,0,0,0,0,0,"transmembrane protein 213"
"D630045J12Rik",351,515,304,643,621,475,291,788,"RIKEN cDNA D630045J12 gene"
"Zc3hav1l",320,536,278,363,354,290,259,551,"zinc finger CCCH-type, antiviral 1-like"
"Zc3hav1",1330,910,983,964,1017,1591,851,1058,"zinc finger CCCH type, antiviral 1"
"Ift56",46,72,48,100,136,71,83,89,"intraflagellar transport 56"
"Ubn2",1187,1346,753,1210,826,960,776,1259,"ubinuclein 2"
"Fmc1",291,200,102,229,273,116,178,154,"formation of mitochondrial complex V assembly factor 1"
"Luc7l2",3223,4018,3036,3917,3560,3657,2747,4543,"LUC7-like 2 (S. cerevisiae)"
"Klrg2",380,446,80,41,153,518,60,146,"killer cell lectin-like receptor subfamily G, member 2"
"Clec2l",4,6,10,7,0,4,1,1,"C-type lectin domain family 2, member L"
"Hipk2",886,897,2093,574,1131,1273,2095,2740,"homeodomain interacting protein kinase 2"
"Tbxas1",8,7,36,1,8,11,30,16,"thromboxane A synthase 1, platelet"
"Parp12",1616,220,338,276,224,126,464,315,"poly (ADP-ribose) polymerase family, member 12"
"Kdm7a",535,612,229,273,556,254,163,115,"lysine (K)-specific demethylase 7A"
"Slc37a3",947,885,807,1001,1204,840,739,673,"solute carrier family 37 (glycerol-3-phosphate transporter), member 3"
"Rab19",2,4,0,0,0,0,1,1,"RAB19, member RAS oncogene family"
"Mkrn1",623,520,671,735,858,616,587,581,"makorin, ring finger protein, 1"
"Dennd2a",132,274,792,716,635,260,1078,1012,"DENN domain containing 2A"
"Adck2",214,187,137,338,264,115,171,160,"aarF domain containing kinase 2"
"Ndufb2",534,548,421,473,549,319,334,419,"NADH:ubiquinone oxidoreductase subunit B2"
"Braf",813,936,996,735,710,816,592,872,"Braf transforming gene"
"Mrps33",782,687,418,620,881,730,537,776,"mitochondrial ribosomal protein S33"
"Tmem178b",0,0,7,0,5,0,0,0,"transmembrane protein 178B"
"Agk",450,619,337,457,535,484,282,494,"acylglycerol kinase"
"Dennd11",105,120,225,279,315,218,248,381,"DENN domain containing 11"
"Wee2",0,0,0,2,0,0,0,0,"WEE1 homolog 2 (S. pombe)"
"Ssbp1",809,808,372,744,1128,900,525,950,"single-stranded DNA binding protein 1"
"Tas2r137",0,0,0,0,0,0,0,0,"taste receptor, type 2, member 137"
"Tas2r108",0,0,2,0,0,0,0,0,"taste receptor, type 2, member 108"
"Prss37",0,0,0,0,0,0,0,0,"serine protease 37"
"Or9a7",0,0,1,1,0,0,0,0,"olfactory receptor family 9 subfamily A member 7"
"Or9a4",0,0,0,0,1,0,0,0,"olfactory receptor family 9 subfamily A member 4"
"Clec5a",3,0,13,0,0,0,16,0,"C-type lectin domain family 5, member a"
"Tas2r138",0,0,0,0,0,0,0,0,"taste receptor, type 2, member 138"
"Mgam",0,1,10,5,1,2,4,4,"maltase-glucoamylase"
"Moxd2",0,0,0,0,0,0,0,0,"monooxygenase, DBH-like 2"
"Prss58",0,0,0,0,0,0,0,0,"serine protease 58"
"Prss59",0,1,0,0,0,0,0,0,"serine protease 59"
"1810009J06Rik",0,0,0,0,0,0,0,0,"RIKEN cDNA 1810009J06 gene"
"Gm2663",0,0,0,0,0,0,0,0,"predicted gene 2663"
"Prss3b",1,0,1,0,1,0,0,1,"serine protease 3B"
"Try4",0,0,0,0,0,0,0,0,"trypsin 4"
"Try5",0,0,0,0,0,0,0,0,"trypsin 5"
"Try10",0,1,0,0,0,0,0,0,"trypsin 10"
"Prss3",0,0,0,0,0,0,0,0,"serine protease 3"
"Prss1l",0,0,0,0,0,0,0,0,"serine protease 1 (trypsin 1) like"
"Prss3l",0,5,0,0,0,0,0,0,"serine protease 3 like"
"Prss1",0,0,0,0,0,0,0,0,"serine protease 1 (trypsin 1)"
"Prss2",0,0,0,0,0,0,0,1,"serine protease 2"
"Ephb6",22,11,112,789,73,15,39,76,"Eph receptor B6"
"Trpv6",0,3,0,22,0,0,0,1,"transient receptor potential cation channel, subfamily V, member 6"
"Trpv5",0,2,0,1,0,0,0,1,"transient receptor potential cation channel, subfamily V, member 5"
"Llcfc1",0,0,0,0,0,0,0,0,"LLLL and CFNLAS motif containing 1"
"Kel",0,0,0,0,0,0,0,0,"Kell blood group"
"Or9a2",0,0,0,0,0,0,0,0,"olfactory receptor family 9 subfamily A member 2"
"Pip",0,0,0,0,0,0,0,0,"prolactin induced protein"
"Sval2",0,0,0,0,0,0,0,0,"seminal vesicle antigen-like 2"
"Sval1",0,0,0,0,0,0,0,0,"seminal vesicle antigen-like 1"
"Sval3",0,0,0,0,0,0,0,0,"seminal vesicle antigen-like 3"
"Sva",0,0,0,0,0,0,0,0,"seminal vesicle antigen"
"Tas2r139",0,0,0,0,0,0,0,0,"taste receptor, type 2, member 139"
"Tas2r144",0,0,0,0,0,0,0,0,"taste receptor, type 2, member 144"
"Gstk1",381,214,88,83,356,117,77,28,"glutathione S-transferase kappa 1"
"Tmem139",3,3,1,0,2,1,0,3,"transmembrane protein 139"
"Casp2",1004,1024,461,900,1232,691,722,1091,"caspase 2"
"Clcn1",11,4,2,3,2,1,3,3,"chloride channel, voltage-sensitive 1"
"Fam131b",12,4,273,88,56,20,327,393,"family with sequence similarity 131, member B"
"Zyx",2293,1685,20545,2804,4667,3339,6776,8869,"zyxin"
"Epha1",10,16,170,22,60,7,64,90,"Eph receptor A1"
"Tas2r143",0,0,1,0,0,1,0,0,"taste receptor, type 2, member 143"
"Tas2r135",0,0,0,0,1,0,0,0,"taste receptor, type 2, member 135"
"Tas2r126",0,0,0,0,0,0,0,0,"taste receptor, type 2, member 126"
"Or2r11",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily R member 11"
"Or2r3",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily R member 3"
"Or2r2",0,0,29,0,0,1,2,16,"olfactory receptor family 2 subfamily R member 2"
"Or10ac1",0,0,0,0,0,0,0,0,"olfactory receptor family 10 subfamily AC member 1"
"Tcaf3",0,0,0,0,0,0,0,0,"TRPM8 channel-associated factor 3"
"Tcaf2",113,75,756,151,135,73,198,192,"TRPM8 channel-associated factor 2"
"Tcaf1",1066,934,2126,1379,833,633,1252,1202,"TRPM8 channel-associated factor 1"
"Or2f1",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily F member 1"
"Or2f1b",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily F member 1B"
"Or2f2",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily F member 2"
"Or2q1",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily Q member 1"
"Or6b1",0,0,0,0,0,0,0,0,"olfactory receptor family 6 subfamily B member 1"
"Or2a5",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily A member 5"
"Or2a25",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily A member 25"
"Or2a12",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily A member 12"
"Or2a56",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily A member 56"
"Or2a54",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily A member 54"
"Or2a14",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily A member 14"
"Or2a52",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily A member 52"
"Or2a7",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily A member 7"
"Or2a51",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily A member 51"
"Or2a20",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily A member 2"
"Or2a57",0,0,0,0,0,0,0,0,"olfactory receptor family 2 subfamily A member 57"
"Arhgef5",681,597,1500,117,865,876,693,1122,"Rho guanine nucleotide exchange factor 5"
"Nobox",0,0,0,0,0,1,0,0,"NOBOX oogenesis homeobox"
"Tpk1",157,149,104,126,97,74,79,88,"thiamine pyrophosphokinase"
"Cntnap2",1,13,0,0,0,0,0,0,"contactin associated protein-like 2"
"Cul1",2163,2447,2586,2441,2500,3381,2386,4139,"cullin 1"
"Ezh2",1514,1929,1212,2010,1817,1880,1281,2643,"enhancer of zeste 2 polycomb repressive complex 2 subunit"
"Gm40369",0,1,1,7,2,1,0,0,"predicted gene, 40369"
"Gm53329",1,1,1,1,0,0,0,0,"predicted gene, 53329"
"Gm40367",0,1,1,1,1,0,0,0,"predicted gene, 40367"
"Gm53330",0,0,0,0,0,1,0,0,"predicted gene, 53330"
"Gm40365",1,0,0,3,3,0,1,0,"predicted gene, 40365"
"Gm36327",0,0,0,0,0,0,0,0,"predicted gene, 36327"
"Gm40364",2,0,0,1,1,1,0,0,"predicted gene, 40364"
"Gm40363",0,0,0,2,1,1,0,0,"predicted gene, 40363"
"Pdia4",4393,4785,5522,4001,3617,3008,5284,4088,"protein disulfide isomerase associated 4"
"Zfp786",65,66,26,90,49,33,23,24,"zinc finger protein 786"
"Zfp398",265,211,199,326,201,209,137,189,"zinc finger protein 398"
"Zfp282",757,766,401,852,549,713,478,657,"zinc finger protein 282"
"Zfp212",379,386,257,381,353,372,264,349,"Zinc finger protein 212"
"Zfp956",227,136,80,146,127,95,90,106,"zinc finger protein 956"
"Zfp777",772,799,637,765,843,882,670,871,"zinc finger protein 777"
"Zfp746",526,524,624,678,759,702,454,591,"zinc finger protein 746"
"Krba1",253,240,267,395,357,236,203,212,"KRAB-A domain containing 1"
"Zfp467",72,77,194,26,51,2,155,36,"zinc finger protein 467"
"Sspo",6,18,2,3,2,5,13,7,"SCO-spondin"
"Atp6v0e2",158,151,215,139,468,197,163,103,"ATPase, H+ transporting, lysosomal V0 subunit E2"
"Lrrc61",44,58,86,183,120,61,75,85,"leucine rich repeat containing 61"
"Rarres2",9,0,77,2,45,0,24,0,"retinoic acid receptor responder (tazarotene induced) 2"
"Gm5111",0,0,0,0,0,0,2,0,"predicted gene 5111"
"Repin1",520,430,425,420,859,459,469,682,"replication initiator 1"
"Zfp775",143,113,96,172,260,98,155,139,"zinc finger protein 775"
"AI854703",14,9,23,24,23,4,20,2,"expressed sequence AI854703"
"Gimap8",2,3,44,0,2,0,1,0,"GTPase, IMAP family member 8"
"Gimap9",14,23,36,2,88,10,21,30,"GTPase, IMAP family member 9"
"Gimap4",3,1,80,0,22,0,11,0,"GTPase, IMAP family member 4"
"Gimap6",4,2,132,2,23,0,2,0,"GTPase, IMAP family member 6"
"Gimap7",5,0,0,0,0,0,0,0,"GTPase, IMAP family member 7"
"Gimap1",0,0,37,0,9,0,0,0,"GTPase, IMAP family member 1"
"Gimap5",2,2,32,0,0,0,1,0,"GTPase, IMAP family member 5"
"Gimap3",0,0,0,0,0,0,0,0,"GTPase, IMAP family member 3"
"Tmem176b",2557,1792,1946,1076,2244,367,3864,822,"transmembrane protein 176B"
"Tmem176a",1403,720,1098,440,1147,146,1833,330,"transmembrane protein 176A"
"Gm7932",1,0,0,0,0,0,3,0,"predicted gene 7932"
"Aoc1",0,0,0,1,0,0,1,0,"amine oxidase, copper-containing 1"
"Aoc1l2",0,0,0,0,0,0,0,0,"amine oxidase copper containing 1-like 2"
"Aoc1l1",0,0,5,1,4,0,3,1,"amine oxidase copper containing 1-like 1"
"Aoc1l3",0,0,0,0,0,0,0,0,"amine oxidase copper containing 1-like 3"
"Gpnmb",518,217,1369,174,8872,3519,2439,3343,"glycoprotein (transmembrane) nmb"
"Malsu1",264,231,231,279,416,330,203,302,"mitochondrial assembly of ribosomal large subunit 1"
"Igf2bp3",57,132,29,18,129,42,44,191,"insulin-like growth factor 2 mRNA binding protein 3"
"Tra2a",2373,2277,2036,2588,2765,2754,1948,3075,"transformer 2 alpha"
"Ccdc126",125,133,212,102,174,103,152,151,"coiled-coil domain containing 126"
"Fam221a",52,27,24,38,33,21,43,34,"family with sequence similarity 221, member A"
"Stk31",0,1,0,0,1,0,0,0,"serine threonine kinase 31"
"Npy",1,0,12,1,0,1,4,8,"neuropeptide Y"
"Pals2",1127,1550,1233,959,1835,2925,1272,2753,"protein associated with LIN7 2, MAGUK family member"
"Gsdme",266,202,185,198,246,206,155,407,"gasdermin E"
"Osbpl3",499,608,431,284,472,693,239,802,"oxysterol binding protein-like 3"
"Cycs",3642,3992,2814,2169,2986,4857,2644,4791,"cytochrome c, somatic"
"Spmip4",7,5,2,3,22,9,3,5,"sperm microtubule inner protein 4"
"Npvf",0,0,0,0,0,0,0,0,"neuropeptide VF precursor"
"Gm38821",3,1,0,0,0,0,0,0,"predicted gene, 38821"
"Nfe2l3",7,23,8,3,4,5,6,11,"nuclear factor, erythroid derived 2, like 3"
"Hnrnpa2b1",18933,23607,13581,20875,18750,27440,14402,27048,"heterogeneous nuclear ribonucleoprotein A2/B1"
"Cbx3",4178,5558,3233,5123,5552,5544,4517,6868,"chromobox 3"
"Snx10",836,912,442,247,1006,469,882,1019,"sorting nexin 10"
"Skap2",474,384,705,698,534,184,461,342,"src family associated phosphoprotein 2"
"Hoxa1",15,37,66,51,39,15,23,32,"homeobox A1"
"Hoxa2",3,5,23,121,33,2,1,10,"homeobox A2"
"Hoxa3",8,5,136,368,70,23,21,53,"homeobox A3"
"Hoxa4",26,26,52,127,59,13,31,32,"homeobox A4"
"Hoxa5",17,6,140,426,69,60,44,83,"homeobox A5"
"Hoxa6",18,1,157,535,27,14,37,82,"homeobox A6"
"Hoxa7",26,12,206,777,33,18,110,105,"homeobox A7"
"Gm57855",0,0,0,0,0,0,0,0,"predicted gene, 57855"
"Hoxa9",13,1,91,155,58,140,38,109,"homeobox A9"
"Hoxa10",41,8,341,172,410,612,363,562,"homeobox A10"
"Hoxa11",42,2,465,42,510,810,783,1043,"homeobox A11"
"Hoxa13",21,6,200,6,464,565,244,298,"homeobox A13"
"Evx1",8,0,5,0,165,44,1,0,"even-skipped homeobox 1"
"Hibadh",841,855,827,898,1780,1217,831,1289,"3-hydroxyisobutyrate dehydrogenase"
"Tax1bp1",2793,2774,2883,2125,3785,3933,2686,3565,"Tax1 (human T cell leukemia virus type I) binding protein 1"
"Jazf1",8,7,90,14,57,27,20,28,"JAZF zinc finger 1"
"Creb5",73,136,151,105,343,293,159,194,"cAMP responsive element binding protein 5"
"Tril",39,16,48,138,31,5,41,42,"TLR4 interactor with leucine-rich repeats"
"Cpvl",0,1,0,0,0,0,0,0,"carboxypeptidase, vitellogenic-like"
"Chn2",30,19,38,20,261,16,21,19,"chimerin 2"
"Prr15",12,4,1,0,5,0,4,0,"proline rich 15"
"Wipf3",6,2,12,5,5,1,0,8,"WAS/WASL interacting protein family, member 3"
"Scrn1",46,20,467,33,163,53,111,96,"secernin 1"
"Fkbp14",407,400,877,739,411,97,546,233,"FK506 binding protein 14"
"Plekha8",471,645,454,434,543,423,274,421,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8"
"Mturn",159,151,268,286,267,56,87,59,"maturin, neural progenitor differentiation regulator homolog (Xenopus)"
