X,BC07,BC08,BC09,BC10,GENENAME
Oprd1,2,12,1,3,"opioid receptor, delta 1"
Ythdf2,1710,1523,2291,2094,YTH N6-methyladenosine RNA binding protein 2
Gmeb1,877,747,722,892,glucocorticoid modulatory element binding protein 1
Taf12,498,714,770,781,TATA-box binding protein associated factor 12
Rab42,9,17,8,22,"RAB42, member RAS oncogene family"
Trnau1ap,536,444,786,669,tRNA selenocysteine 1 associated protein 1
Rcc1,2865,2654,4336,4237,regulator of chromosome condensation 1
Phactr4,870,913,999,1277,phosphatase and actin regulator 4
Med18,168,145,189,196,mediator complex subunit 18
Sesn2,322,369,500,332,sestrin 2
Atp5if1,1772,2111,1163,2117,ATP synthase inhibitory factor subunit 1
Dnajc8,2640,2444,2949,3733,DnaJ heat shock protein family (Hsp40) member C8
Ptafr,5,0,0,1,platelet-activating factor receptor
Eya3,1400,1325,1823,1552,EYA transcriptional coactivator and phosphatase 3
Xkr8,100,153,98,188,X-linked Kx blood group related 8
Smpdl3b,1506,1304,1264,1317,"sphingomyelin phosphodiesterase, acid-like 3B"
Rpa2,1440,1362,1269,1498,replication protein A2
Themis2,8,0,0,1,thymocyte selection associated family member 2
Ppp1r8,1677,1560,1859,2358,"protein phosphatase 1, regulatory subunit 8"
Stx12,890,1182,1469,1324,syntaxin 12
Fam76a,618,774,596,719,"family with sequence similarity 76, member A"
Fgr,26,7,0,0,"FGR proto-oncogene, Src family tyrosine kinase"
Ahdc1,1088,1386,419,882,"AT hook, DNA binding motif, containing 1"
Wasf2,3348,3993,3045,4626,"WASP family, member 2"
Gpr3,0,0,1,9,G-protein coupled receptor 3
Cd164l2,1,2,0,2,CD164 sialomucin-like 2
Map3k6,87,205,414,418,mitogen-activated protein kinase kinase kinase 6
Sytl1,4,5,4,8,synaptotagmin-like 1
Tmem222,771,757,743,886,transmembrane protein 222
Wdtc1,1152,1226,872,1153,WD and tetratricopeptide repeats 1
Slc9a1,830,1248,1285,1555,"solute carrier family 9 (sodium/hydrogen exchanger), member 1"
Tent5b,218,91,116,286,terminal nucleotidyltransferase 5B
Trnp1,36,44,93,270,TMF1-regulated nuclear protein 1
Gm42323,5,0,0,0,"predicted gene, 42323"
Kdf1,0,0,2,0,keratinocyte differentiation factor 1
Nudc,4595,4264,6550,7331,nudC nuclear distribution protein
Nr0b2,0,0,0,0,"nuclear receptor subfamily 0, group B, member 2"
Gpatch3,153,168,224,311,G patch domain containing 3
Gpn2,388,370,532,593,GPN-loop GTPase 2
Sfn,75,69,84,62,stratifin
Zdhhc18,484,493,689,1028,"zinc finger, DHHC domain containing 18"
Pigv,123,271,153,223,"phosphatidylinositol glycan anchor biosynthesis, class V"
Arid1a,3849,3492,3814,5123,AT-rich interaction domain 1A
Gm34296,2,0,0,0,"predicted gene, 34296"
Rps6ka1,985,1080,949,716,ribosomal protein S6 kinase polypeptide 1
Hmgn2,5067,7669,5372,5801,high mobility group nucleosomal binding domain 2
Dhdds,892,1110,1038,1034,dehydrodolichyl diphosphate synthase
Lin28a,1000,0,0,0,lin-28 homolog A
Crybg2,15,1,1,3,crystallin beta-gamma domain containing 2
Cd52,3,0,0,3,CD52 antigen
Ubxn11,39,121,33,36,UBX domain protein 11
Sh3bgrl3,374,793,597,1117,SH3 domain binding glutamic acid-rich protein-like 3
Cep85,806,682,893,960,centrosomal protein 85
Zpld2,0,0,0,0,zona pellucida like domain containing 2
Catsper4,0,0,2,0,"cation channel, sperm associated 4"
Cnksr1,3,13,10,2,connector enhancer of kinase suppressor of Ras 1
Zfp593,191,160,282,248,zinc finger protein 593
Gm30191,3,4,0,0,"predicted gene, 30191"
Fam110d,320,2,3,0,"family with sequence similarity 110, member D"
Pdik1l,244,186,226,280,PDLIM1 interacting kinase 1 like
Trim63,2,0,5,0,tripartite motif-containing 63
Slc30a2,21,0,7,0,"solute carrier family 30 (zinc transporter), member 2"
Extl1,345,8,35,0,exostosin-like glycosyltransferase 1
Pafah2,496,465,402,531,platelet-activating factor acetylhydrolase 2
Stmn1,3326,3550,2796,4675,stathmin 1
Paqr7,52,52,45,85,progestin and adipoQ receptor family member VII
Aunip,247,132,333,372,aurora kinase A and ninein interacting protein
Mtfr1l,1151,1062,1576,1701,mitochondrial fission regulator 1-like
Selenon,935,1628,1032,1625,selenoprotein N
Man1c1,190,246,111,189,"mannosidase, alpha, class 1C, member 1"
Ldlrap1,633,333,732,872,low density lipoprotein receptor adaptor protein 1
Maco1,1134,1355,1053,1122,macoilin 1
Rhd,27,1,9,8,"Rh blood group, D antigen"
Tmem50a,1128,1456,1339,1476,transmembrane protein 50A
Rsrp1,891,1437,1164,1507,arginine/serine rich protein 1
Syf2,849,722,868,783,"SYF2 homolog, RNA splicing factor (S. cerevisiae)"
Runx3,4319,486,103,267,runt related transcription factor 3
Clic4,5579,7905,6614,7408,chloride intracellular channel 4
Srrm1,4890,4590,5184,6532,serine/arginine repetitive matrix 1
Ncmap,52,0,1,4,noncompact myelin associated protein
Rcan3,246,281,227,396,regulator of calcineurin 3
Nipal3,419,114,91,39,NIPA-like domain containing 3
Stpg1,0,2,0,0,sperm tail PG rich repeat containing 1
Grhl3,61,0,0,0,grainyhead like transcription factor 3
Ifnlr1,38,2,8,4,interferon lambda receptor 1
Il22ra1,0,16,1,16,"interleukin 22 receptor, alpha 1"
Myom3,1,4,0,0,"myomesin family, member 3"
Srsf10,3989,3691,3902,4754,serine and arginine-rich splicing factor 10
Pnrc2,1681,2267,2159,1580,proline-rich nuclear receptor coactivator 2
Cnr2,3,0,2,0,cannabinoid receptor 2
Fuca1,567,956,717,672,"fucosidase, alpha-L- 1, tissue"
Hmgcl,633,565,509,475,3-hydroxy-3-methylglutaryl-Coenzyme A lyase
Gale,195,271,302,330,"galactose-4-epimerase, UDP"
Lypla2,978,1063,1421,1200,lysophospholipase 2
Pithd1,756,694,885,924,PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1
Eloa,1713,1628,1942,2637,elongin A
Rpl11,14840,15693,16769,17860,ribosomal protein L11
Id3,2650,7739,4630,4138,inhibitor of DNA binding 3
E2f2,337,240,212,207,E2F transcription factor 2
Asap3,194,392,41,70,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"
Tcea3,10,82,2,5,"transcription elongation factor A (SII), 3"
Zfp46,374,583,338,447,zinc finger protein 46
Hnrnpr,3622,3745,3882,3997,heterogeneous nuclear ribonucleoprotein R
Htr1d,6,22,0,0,5-hydroxytryptamine (serotonin) receptor 1D
Luzp1,2776,2336,3285,4016,leucine zipper protein 1
Kdm1a,2071,1828,2406,2575,lysine (K)-specific demethylase 1A
Tex46,0,0,0,0,testis expressed 46
Lactbl1,1,0,0,0,"lactamase, beta-like 1"
Ephb2,1139,652,131,758,Eph receptor B2
C1qb,0,0,0,2,"complement component 1, q subcomponent, beta polypeptide"
C1qc,0,0,0,5,"complement component 1, q subcomponent, C chain"
C1qa,10,1,0,2,"complement component 1, q subcomponent, alpha polypeptide"
Epha8,6970,5,72,40,Eph receptor A8
Zbtb40,612,496,800,789,zinc finger and BTB domain containing 40
Wnt4,336,225,8,26,"wingless-type MMTV integration site family, member 4"
Cdc42,6064,6529,8935,8956,cell division cycle 42
Cela3a,0,0,0,0,"chymotrypsin-like elastase family, member 3A"
Cela3b,0,0,0,0,"chymotrypsin-like elastase family, member 3B"
1700013G24Rik,0,4,0,0,RIKEN cDNA 1700013G24 gene
Hspg2,19853,11923,8151,15915,perlecan (heparan sulfate proteoglycan 2)
Ldlrad2,3,1,0,3,low density lipoprotein receptor class A domain containing 2
Usp48,1311,1387,1581,1681,ubiquitin specific peptidase 48
Rap1gap,36,31,31,322,Rap1 GTPase-activating protein
Alpl,11969,1691,768,192,"alkaline phosphatase, liver/bone/kidney"
Ece1,7779,1899,2497,2965,endothelin converting enzyme 1
Eif4g3,1968,2577,2389,2340,"eukaryotic translation initiation factor 4 gamma, 3"
Hp1bp3,3412,4187,3470,4076,"heterochromatin protein 1, binding protein 3"
Sh2d5,14,12,64,35,SH2 domain containing 5
Gm54278,0,0,0,0,"predicted gene, 54278"
Kif17,1,4,2,9,kinesin family member 17
Ddost,6384,7051,6939,7825,dolichyl-di-phosphooligosaccharide-protein glycotransferase
Pink1,299,483,121,220,PTEN induced putative kinase 1
Cda,9,2,1,1,cytidine deaminase
Fam43b,0,0,0,4,"family with sequence similarity 43, member B"
Mul1,514,519,487,561,mitochondrial ubiquitin ligase activator of NFKB 1
Camk2n1,30,14,37,37,calcium/calmodulin-dependent protein kinase II inhibitor 1
Vwa5b1,1,0,0,0,von Willebrand factor A domain containing 5B1
Ubxn10,9,0,0,0,UBX domain protein 10
Pla2g2c,0,0,0,0,"phospholipase A2, group IIC"
Pla2g2f,0,0,0,0,"phospholipase A2, group IIF"
Pla2g2d,1,0,0,3,"phospholipase A2, group IID"
Pla2g5,42,4,16,4,"phospholipase A2, group V"
Pla2g2a,0,0,0,0,"phospholipase A2, group IIA (platelets, synovial fluid)"
Gm13030,0,0,0,0,predicted gene 13030
Pla2g2e,0,0,3,1,"phospholipase A2, group IIE"
Otud3,334,310,490,521,OTU domain containing 3
Rnf186,0,0,0,0,ring finger protein 186
Tmco4,107,90,112,125,transmembrane and coiled-coil domains 4
Htr6,2,0,8,8,5-hydroxytryptamine (serotonin) receptor 6
Nbl1,219,690,1553,962,"NBL1, DAN family BMP antagonist"
Micos10,1962,1684,2689,2001,mitochondrial contact site and cristae organizing system subunit 10
Capzb,4713,4258,4856,7985,capping actin protein of muscle Z-line subunit beta
Slc66a1,167,123,167,218,solute carrier family 66 member 1
Akr7a5,503,778,616,586,"aldo-keto reductase family 7, member A5"
Mrto4,2249,1678,2980,3186,"mRNA turnover 4, ribosome maturation factor"
Emc1,1204,1650,1437,1364,ER membrane protein complex subunit 1
Ubr4,5837,4827,6090,8734,ubiquitin protein ligase E3 component n-recognin 4
Iffo2,1732,530,923,1418,intermediate filament family orphan 2
Aldh4a1,1534,1239,290,398,"aldehyde dehydrogenase 4 family, member A1"
Tas1r2,2,2,7,23,"taste receptor, type 1, member 2"
Pax7,0,0,0,0,paired box 7
Klhdc7a,0,0,0,0,kelch domain containing 7A
Igsf21,0,1,0,0,"immunoglobulin superfamily, member 21"
Arhgef10l,579,775,367,796,Rho guanine nucleotide exchange factor 10-like
Rcc2,18759,15207,13782,18351,regulator of chromosome condensation 2
Padi6,7,0,0,0,"peptidyl arginine deiminase, type VI"
Padi4,3,8,0,0,"peptidyl arginine deiminase, type IV"
Padi3,26,2,15,5,"peptidyl arginine deiminase, type III"
Padi1,178,0,3,1,"peptidyl arginine deiminase, type I"
Padi2,239,313,143,27,"peptidyl arginine deiminase, type II"
Sdhb,2773,2369,2204,2565,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"
Atp13a2,390,600,672,596,ATPase type 13A2
Mfap2,14,798,1,45,microfibrillar-associated protein 2
Crocc,297,562,266,395,"ciliary rootlet coiled-coil, rootletin"
Necap2,939,929,1190,1133,NECAP endocytosis associated 2
Spata21,2,0,2,0,spermatogenesis associated 21
Szrd1,3184,2334,3727,3690,SUZ RNA binding domain containing 1
Fbxo42,1214,967,1238,1228,F-box protein 42
Cplane2,50,44,34,37,ciliogenesis and planar polarity effector 2
Arhgef19,230,192,16,96,Rho guanine nucleotide exchange factor 19
Epha2,954,233,2488,2851,Eph receptor A2
Fam131c,18,8,5,4,"family with sequence similarity 131, member C"
Clcnka,9,0,0,0,"chloride channel, voltage-sensitive Ka"
Clcnkb,0,0,0,2,"chloride channel, voltage-sensitive Kb"
Hspb7,108,67,171,42,"heat shock protein family, member 7 (cardiovascular)"
Srarp,0,0,0,0,steroid receptor associated and regulated protein
Gm42337,0,1,1,1,"predicted gene, 42337"
Zbtb17,659,594,705,851,zinc finger and BTB domain containing 17
Spen,2344,1987,2464,2886,spen family transcription repressor
Fblim1,1139,249,543,2917,filamin binding LIM protein 1
Tmem82,0,0,0,0,transmembrane protein 82
Slc25a34,4,0,1,5,"solute carrier family 25, member 34"
Plekhm2,555,588,721,715,"pleckstrin homology domain containing, family M (with RUN domain) member 2"
Gm54266,7,5,3,11,"predicted gene, 54266"
Ddi2,533,544,733,748,DNA-damage inducible protein 2
Rsc1a1,0,0,1,0,"regulatory solute carrier protein, family 1, member 1"
Agmat,4,0,0,0,agmatinase
Dnajc16,493,510,522,568,DnaJ heat shock protein family (Hsp40) member C16
Casp9,274,320,234,325,caspase 9
Cela2a,0,0,0,0,"chymotrypsin-like elastase family, member 2A"
Ctrc,0,0,0,0,chymotrypsin C
Efhd2,2103,913,1652,1575,EF hand domain containing 2
Fhad1,7,2,0,0,forkhead-associated phosphopeptide binding domain 1
Tmem51,1159,4,32,39,transmembrane protein 51
Kazn,826,88,216,123,"kazrin, periplakin interacting protein"
Prdm2,1367,1549,1637,1931,"PR domain containing 2, with ZNF domain"
Pdpn,1154,115,349,1432,podoplanin
Lrrc38,0,1,0,0,leucine rich repeat containing 38
Pramel1,0,0,2,0,PRAME like 1
Pramel12,486,442,382,417,PRAME like 12
Oog4,2,0,0,0,oogenesin 4
Gm13043,0,0,0,0,predicted gene 13043
Gm13040,0,0,0,0,predicted gene 13040
Gm13057,0,0,0,0,predicted gene 13057
Pramel20,0,0,0,0,PRAME like 20
Pramel21,0,0,4,0,PRAME like 21
Pramel22,0,0,0,0,PRAME like 22
Pramel23,0,0,0,0,PRAME like 23
Pramel24,0,0,0,0,PRAME like 24
Pramel25,0,0,0,0,PRAME like 25
Pramel26,0,0,0,0,PRAME like 26
Pramel27,0,0,0,0,PRAME like 27
Pramel11,0,0,0,0,PRAME like 11
Pramel16,3,0,1,0,PRAME like 16
Pramel14,0,0,0,0,PRAME like 14
Pramel4,0,0,0,0,PRAME like 4
Oog3,0,0,0,0,oogenesin 3
Oog2,0,0,0,0,oogenesin 2
Pramel29,0,0,0,0,PRAME like 29
Pramel5,0,0,0,0,PRAME like 5
Pramel30,0,0,0,0,PRAME like 30
Pramel31,0,0,0,0,PRAME like 31
Pramel15,0,0,0,0,PRAME like 15
Pramel13,0,0,0,0,PRAME like 13
Cfap107,0,0,0,0,cilia and flagella associated protein 107
Aadacl3,0,0,0,0,arylacetamide deacetylase like 3
Aadacl4fm1,0,0,0,0,AADACL4 family member 1
Aadacl4fm2,0,0,0,0,AADACL4 family member 2
Aadacl4,0,0,0,0,arylacetamide deacetylase like 4
Aadacl4fm4,0,0,0,0,AADACL4 family member 4
AAdacl4fm3,0,0,0,0,AADACL4 family member 3
Aadacl4fm5,0,0,0,0,AADACL4 family member 5
Vps13d,614,676,600,663,vacuolar protein sorting 13D
Dhrs3,389,235,145,90,dehydrogenase/reductase 3
Tnfrsf1b,176,97,230,734,"tumor necrosis factor receptor superfamily, member 1b"
Tnfrsf8,5,0,0,1,"tumor necrosis factor receptor superfamily, member 8"
Zfp990,0,0,0,0,zinc finger protein 990
Zfp268,92,21,53,525,zinc finger protein 268
Zfp980,3,0,4,4,zinc finger protein 980
Zfp987,3,0,0,1,zinc finger protein 987
Zfp600,0,0,0,7,zinc finger protein 600
Gm53232,0,1,0,0,"predicted gene, 53232"
Zfp992,90,27,206,367,zinc finger protein 992
Zfp981,5,2,0,8,zinc finger protein 981
Gm20760,4,7,5,2,"predicted gene, 20760"
Gm13149,0,0,0,1,predicted gene 13149
Rex2,5,0,0,7,reduced expression 2
Zfp991,322,98,461,525,zinc finger protein 991
Gm54268,72,63,29,29,"predicted gene, 54268"
Gm13144,0,0,0,1,predicted gene 13144
Zfp988,2,1,0,0,zinc finger protein 988
Zfp978,3,0,0,50,zinc finger protein 978
Zfp982,115,3,5,218,zinc finger protein 982
Zfp985,3,1,2,3,zinc finger protein 985
Zfp979,0,1,5,202,zinc finger protein 979
Zfp534,0,0,0,1,zinc finger protein 534
Zfp984,634,212,257,627,zinc finger protein 984
Zfp933,210,232,229,229,zinc finger protein 933
Miip,421,542,621,563,migration and invasion inhibitory protein
Fv1,235,196,89,149,Friend virus susceptibility 1
Mfn2,1605,2124,2286,3094,mitofusin 2
Plod1,1039,1582,2290,1589,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1"
2510039O18Rik,1314,1546,1915,1977,RIKEN cDNA 2510039O18 gene
Nppb,4,6,20,6,natriuretic peptide type B
Nppa,0,0,1,2,natriuretic peptide type A
Clcn6,363,462,304,712,"chloride channel, voltage-sensitive 6"
Mthfr,288,348,497,774,methylenetetrahydrofolate reductase
Agtrap,181,304,181,267,"angiotensin II, type I receptor-associated protein"
Draxin,4,175,2,8,dorsal inhibitory axon guidance protein
Mad2l2,269,489,584,564,MAD2 mitotic arrest deficient-like 2
Fbxo6,177,293,550,521,F-box protein 6
Fbxo44,47,60,67,82,F-box protein 44
Fbxo2,58,215,104,84,F-box protein 2
Disp3,0,1,0,2,dispatched RND transporter family member 3
Ubiad1,458,558,489,621,UbiA prenyltransferase domain containing 1
Mtor,1385,1395,1994,1980,mechanistic target of rapamycin kinase
Angptl7,1,4,75,5,angiopoietin-like 7
Exosc10,2385,2406,3540,3387,exosome component 10
Srm,7591,5834,10702,9424,spermidine synthase
Masp2,30,19,22,19,MBL associated serine protease 2
Tardbp,7656,6472,10033,9209,TAR DNA binding protein
Gm572,2,0,0,0,predicted gene 572
Casz1,18,20,4,4,castor zinc finger 1
Pex14,767,856,996,999,peroxisomal biogenesis factor 14
Dffa,493,356,526,363,"DNA fragmentation factor, alpha subunit"
Cort,2,3,2,5,cortistatin
Cenps,236,231,195,294,centromere protein S
Pgd,2794,3345,3255,7084,phosphogluconate dehydrogenase
Kif1b,2149,2988,4027,3845,kinesin family member 1B
Ube4b,4685,3676,4097,5128,ubiquitination factor E4B
Rbp7,4,2,1,0,"retinol binding protein 7, cellular"
Nmnat1,228,230,223,309,nicotinamide nucleotide adenylyltransferase 1
Tmem274,0,9,1,0,transmembrame protein 274
Lzic,536,425,713,564,leucine zipper and CTNNBIP1 domain containing
Ctnnbip1,267,199,192,273,catenin beta interacting protein 1
Clstn1,4087,3150,1500,3076,calsyntenin 1
Pik3cd,223,88,186,115,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
Tmem201,1406,1120,1254,1458,transmembrane protein 201
Slc25a33,563,206,641,611,"solute carrier family 25, member 33"
Spsb1,465,113,342,167,splA/ryanodine receptor domain and SOCS box containing 1
H6pd,914,863,1658,3459,hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)
Gpr157,42,35,20,15,G protein-coupled receptor 157
Slc2a5,5,75,0,1,"solute carrier family 2 (facilitated glucose transporter), member 5"
Slc2a7,0,1,0,0,"solute carrier family 2 (facilitated glucose transporter), member 7"
Car6,9,9,21,4,carbonic anhydrase 6
Eno1,38382,39653,48571,67846,"enolase 1, alpha non-neuron"
Rere,3161,3398,3683,4987,arginine glutamic acid dipeptide (RE) repeats
Slc45a1,9,0,6,2,"solute carrier family 45, member 1"
Gm54271,0,0,0,0,"predicted gene, 54271"
Errfi1,736,976,6049,2294,ERBB receptor feedback inhibitor 1
Park7,4060,3256,3066,4572,"Parkinson disease (autosomal recessive, early onset) 7"
Tnfrsf9,5,0,17,20,"tumor necrosis factor receptor superfamily, member 9"
Per3,427,272,69,212,period circadian clock 3
Uts2,0,0,36,0,urotensin 2
Vamp3,1615,1473,1696,1765,vesicle-associated membrane protein 3
Gm38529,6,3,2,7,"predicted gene, 38529"
Camta1,428,346,344,427,calmodulin binding transcription activator 1
Gm13090,0,0,0,0,predicted gene 13090
Dnajc11,2184,1891,2871,2601,DnaJ heat shock protein family (Hsp40) member C11
Thap3,201,336,202,292,"THAP domain containing, apoptosis associated protein 3"
Phf13,600,619,776,953,PHD finger protein 13
Klhl21,1668,1070,1893,2105,kelch-like 21
Zbtb48,214,217,364,344,zinc finger and BTB domain containing 48
Tas1r1,11,14,18,8,"taste receptor, type 1, member 1"
Nol9,2286,1848,3826,3287,nucleolar protein 9
Plekhg5,329,554,232,352,"pleckstrin homology domain containing, family G (with RhoGef domain) member 5"
Tnfrsf25,11,10,12,9,"tumor necrosis factor receptor superfamily, member 25"
Espn,11,52,13,8,espin
Hes2,0,0,0,0,hes family bHLH transcription factor 2
Acot7,916,910,2334,2897,acyl-CoA thioesterase 7
Gpr153,21,139,13,334,G protein-coupled receptor 153
Hes3,0,0,0,0,hes family bHLH transcription factor 3
Icmt,1196,1321,2002,2235,isoprenylcysteine carboxyl methyltransferase
Rnf207,3,10,0,19,ring finger protein 207
Rpl22,7281,8988,6954,8973,ribosomal protein L22
Chd5,11,126,16,35,chromodomain helicase DNA binding protein 5
Kcnab2,72,241,67,96,"potassium voltage-gated channel, shaker-related subfamily, beta member 2"
Nphp4,170,290,61,181,nephronophthisis 4 (juvenile) homolog (human)
Ajap1,0,2,0,0,adherens junction associated protein 1
A430005L14Rik,425,430,435,371,RIKEN cDNA A430005L14 gene
Dffb,139,117,147,215,"DNA fragmentation factor, beta subunit"
Cep104,471,416,626,811,centrosomal protein 104
Lrrc47,1460,1427,1675,2351,leucine rich repeat containing 47
Smim1,4,65,11,36,small integral membrane protein 1
Ccdc27,0,2,0,0,coiled-coil domain containing 27
Trp73,0,0,0,0,transformation related protein 73
Wrap73,297,272,320,346,"WD repeat containing, antisense to Trp73"
Tprg1l,1009,750,1297,1224,transformation related protein 63 regulated 1 like
Megf6,95,866,20,3,multiple EGF-like-domains 6
Arhgef16,1,4,2,3,Rho guanine nucleotide exchange factor 16
Prdm16,0,37,8,31,PR domain containing 16
Actrt2,0,0,0,0,actin-related protein T2
Ttc34,0,0,4,0,tetratricopeptide repeat domain 34
Mmel1,3,4,14,12,membrane metallo-endopeptidase-like 1
Prxl2b,97,133,96,57,peroxiredoxin like 2B
Tnfrsf14,22,25,1,35,"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)"
Hes5,0,6,0,0,hes family bHLH transcription factor 5
Pank4,575,643,677,926,pantothenate kinase 4
Plch2,6,8,10,0,"phospholipase C, eta 2"
Pex10,278,257,242,158,peroxisomal biogenesis factor 10
Rer1,1487,1623,1833,2214,retention in endoplasmic reticulum sorting receptor 1
Morn1,157,188,179,184,MORN repeat containing 1
Ski,3125,5140,3313,4038,ski sarcoma viral oncogene homolog (avian)
Faap20,369,449,446,577,Fanconi anemia core complex associated protein 20
Prkcz,14,3,57,21,"protein kinase C, zeta"
Gabrd,1,0,0,0,"gamma-aminobutyric acid (GABA) A receptor, subunit delta"
Cfap74,3,17,36,67,cilia and flagella associated protein 74
Tmem52,0,0,0,0,transmembrane protein 52
Gnb1,7400,8634,10372,13604,"guanine nucleotide binding protein (G protein), beta 1"
Nadk,2921,2951,5534,6600,NAD kinase
Slc35e2,486,622,594,512,"solute carrier family 35, member E2"
Cdk11b,1675,1595,2299,2447,cyclin dependent kinase 11B
Mmp23,16,181,37,129,matrix metallopeptidase 23
Mib2,432,855,453,426,mindbomb E3 ubiquitin protein ligase 2
Fndc10,82,286,28,60,fibronectin type III domain containing 10
Ssu72,715,805,1119,960,Ssu72 RNA polymerase II CTD phosphatase homolog (yeast)
Tmem240,7,26,14,23,transmembrane protein 240
Atad3a,2690,2246,3486,3203,"ATPase family, AAA domain containing 3A"
Vwa1,44,81,51,26,von Willebrand factor A domain containing 1
Tmem88b,2,6,6,6,transmembrane protein 88B
Ankrd65,0,0,0,0,ankyrin repeat domain 65
Mrpl20,951,742,1250,1241,mitochondrial ribosomal protein L20
Ccnl2,1837,2811,1514,2321,cyclin L2
Aurkaip1,978,1190,1473,1263,aurora kinase A interacting protein 1
Mxra8,241,1857,515,1393,matrix-remodelling associated 8
Dvl1,1540,1635,2295,2598,dishevelled segment polarity protein 1
Tas1r3,21,12,17,22,"taste receptor, type 1, member 3"
Cptp,293,404,501,583,ceramide-1-phosphate transfer protein
Ints11,1713,1724,2518,2379,integrator complex subunit 11
Pusl1,217,325,570,513,pseudouridylate synthase-like 1
Acap3,565,1038,1178,1241,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
Ube2j2,1258,1118,1737,1968,ubiquitin-conjugating enzyme E2J 2
C1qtnf12,143,372,132,126,C1q and tumor necrosis factor related 12
B3galt6,414,451,310,408,"UDP-Gal:betaGal beta 1,3-galactosyltransferase, polypeptide 6"
Sdf4,2282,2528,1959,2998,stromal cell derived factor 4
Tnfrsf4,24,14,64,46,"tumor necrosis factor receptor superfamily, member 4"
Tnfrsf18,10,26,5,8,"tumor necrosis factor receptor superfamily, member 18"
Ttll10,0,0,1,0,"tubulin tyrosine ligase-like family, member 10"
9430015G10Rik,782,1106,876,849,RIKEN cDNA 9430015G10 gene
Rnf223,13,1,20,28,ring finger 223
Agrn,1339,3079,2027,3554,agrin
Isg15,72,40,203,84,ISG15 ubiquitin-like modifier
Perm1,8,24,19,53,"PPARGC1 and ESRR induced regulator, muscle 1"
Plekhn1,54,84,60,56,"pleckstrin homology domain containing, family N member 1"
Klhl17,342,808,374,580,kelch-like 17
Noc2l,3228,3219,3835,5739,NOC2 like nucleolar associated transcriptional repressor
Samd11,14,9,3,6,sterile alpha motif domain containing 11
Dhrsx,453,773,702,860,dehydrogenase/reductase X linked
Gm54275,0,0,0,0,"predicted gene, 54275"
Gm54276,0,0,0,0,"predicted gene, 54276"
Gm54279,0,0,0,0,"predicted gene, 54279"
Vmn2r122,0,0,0,0,"vomeronasal 2, receptor, 122"
Gm53275,0,0,0,0,"predicted gene, 53275"
Vmn2r129,0,0,0,0,"vomeronasal 2, receptor 129"
Cd99,99,62,65,158,CD99 antigen
Cdk6,2301,471,1290,2121,cyclin dependent kinase 6
Fam133b,553,514,709,825,"family with sequence similarity 133, member B"
1700109H08Rik,8,13,10,13,RIKEN cDNA 1700109H08 gene
Rbm48,169,133,162,191,RNA binding motif protein 48
Pex1,297,396,239,311,peroxisomal biogenesis factor 1
Gatad1,1481,1505,2295,2550,GATA zinc finger domain containing 1
Tmbim7,0,0,0,0,transmembrane BAX inhibitor motif containing 7
Ankib1,1156,1135,1620,1771,ankyrin repeat and IBR domain containing 1
Krit1,695,644,705,736,"KRIT1, ankyrin repeat containing"
Lrrd1,4,14,3,3,leucine rich repeats and death domain containing 1
Mterf1a,81,97,85,101,mitochondrial transcription termination factor 1a
Akap9,840,937,850,1106,A kinase anchor protein 9
Cyp51,2620,2788,1572,4857,"cytochrome P450, family 51"
Mterf1b,77,63,61,85,mitochondrial transcription termination factor 1b
Fzd1,442,1354,901,1017,frizzled class receptor 1
Cdk14,291,1485,459,1403,cyclin dependent kinase 14
Pttg1ip2,0,0,2,6,PTTG1IP family member 2
Cldn12,834,852,1865,3890,claudin 12
Gtpbp10,524,708,1041,1166,GTP-binding protein 10 (putative)
Fam237b,0,9,9,42,"family with sequence similarity 237, member B"
Cfap69,37,48,458,355,cilia and flagella associated protein 69
Steap2,590,1046,1459,3695,six transmembrane epithelial antigen of prostate 2
Steap1,278,310,1159,1464,six transmembrane epithelial antigen of the prostate 1
Gm46900,0,3,13,11,"predicted gene, 46900"
Zfp804b,0,0,0,0,zinc finger protein 804B
Tex47,0,0,0,0,testis expressed 47
Steap4,35,297,1,0,STEAP family member 4
Sri,812,1213,972,1474,sorcin
Adam22,22,61,16,26,a disintegrin and metallopeptidase domain 22
Dbf4,1653,1201,2278,2776,DBF4 zinc finger
Slc25a40,211,222,244,482,"solute carrier family 25, member 40"
Rundc3b,21,35,15,16,RUN domain containing 3B
Abcb1a,8,27,36,43,"ATP-binding cassette, sub-family B member 1A"
Abcb1b,383,838,983,1143,"ATP-binding cassette, sub-family B member 1B"
Abcb4,5,6,1,3,"ATP-binding cassette, sub-family B member 4"
Crot,410,582,495,651,carnitine O-octanoyltransferase
Tmem243,101,134,164,133,"transmembrane protein 243, mitochondrial"
Dmtf1,841,938,984,947,cyclin D binding myb like transcription factor 1
