X,BC07_tumor,BC08_tumor,BC09_tumor,BC10_tumor,GENENAME
Lrrc61,44,86,120,75,leucine rich repeat containing 61
Rarres2,9,77,45,24,retinoic acid receptor responder (tazarotene induced) 2
Gm5111,0,0,0,2,predicted gene 5111
Repin1,520,425,859,469,replication initiator 1
Zfp775,143,96,260,155,zinc finger protein 775
AI854703,14,23,23,20,expressed sequence AI854703
Gimap8,2,44,2,1,"GTPase, IMAP family member 8"
Gimap9,14,36,88,21,"GTPase, IMAP family member 9"
Gimap4,3,80,22,11,"GTPase, IMAP family member 4"
Gimap6,4,132,23,2,"GTPase, IMAP family member 6"
Gimap7,5,0,0,0,"GTPase, IMAP family member 7"
Gimap1,0,37,9,0,"GTPase, IMAP family member 1"
Gimap5,2,32,0,1,"GTPase, IMAP family member 5"
Gimap3,0,0,0,0,"GTPase, IMAP family member 3"
Tmem176b,2557,1946,2244,3864,transmembrane protein 176B
Tmem176a,1403,1098,1147,1833,transmembrane protein 176A
Gm7932,1,0,0,3,predicted gene 7932
Aoc1,0,0,0,1,"amine oxidase, copper-containing 1"
Aoc1l2,0,0,0,0,amine oxidase copper containing 1-like 2
Aoc1l1,0,5,4,3,amine oxidase copper containing 1-like 1
Aoc1l3,0,0,0,0,amine oxidase copper containing 1-like 3
Gpnmb,518,1369,8872,2439,glycoprotein (transmembrane) nmb
Malsu1,264,231,416,203,mitochondrial assembly of ribosomal large subunit 1
Igf2bp3,57,29,129,44,insulin-like growth factor 2 mRNA binding protein 3
Tra2a,2373,2036,2765,1948,transformer 2 alpha
Ccdc126,125,212,174,152,coiled-coil domain containing 126
Fam221a,52,24,33,43,"family with sequence similarity 221, member A"
Stk31,0,0,1,0,serine threonine kinase 31
Npy,1,12,0,4,neuropeptide Y
Pals2,1127,1233,1835,1272,"protein associated with LIN7 2, MAGUK family member"
Gsdme,266,185,246,155,gasdermin E
Osbpl3,499,431,472,239,oxysterol binding protein-like 3
Cycs,3642,2814,2986,2644,"cytochrome c, somatic"
Spmip4,7,2,22,3,sperm microtubule inner protein 4
Npvf,0,0,0,0,neuropeptide VF precursor
Gm38821,3,0,0,0,"predicted gene, 38821"
Nfe2l3,7,8,4,6,"nuclear factor, erythroid derived 2, like 3"
Hnrnpa2b1,18933,13581,18750,14402,heterogeneous nuclear ribonucleoprotein A2/B1
Cbx3,4178,3233,5552,4517,chromobox 3
Snx10,836,442,1006,882,sorting nexin 10
Skap2,474,705,534,461,src family associated phosphoprotein 2
Hoxa1,15,66,39,23,homeobox A1
Hoxa2,3,23,33,1,homeobox A2
Hoxa3,8,136,70,21,homeobox A3
Hoxa4,26,52,59,31,homeobox A4
Hoxa5,17,140,69,44,homeobox A5
Hoxa6,18,157,27,37,homeobox A6
Hoxa7,26,206,33,110,homeobox A7
Gm57855,0,0,0,0,"predicted gene, 57855"
Hoxa9,13,91,58,38,homeobox A9
Hoxa10,41,341,410,363,homeobox A10
Hoxa11,42,465,510,783,homeobox A11
Hoxa13,21,200,464,244,homeobox A13
Evx1,8,5,165,1,even-skipped homeobox 1
Hibadh,841,827,1780,831,3-hydroxyisobutyrate dehydrogenase
Tax1bp1,2793,2883,3785,2686,Tax1 (human T cell leukemia virus type I) binding protein 1
Jazf1,8,90,57,20,JAZF zinc finger 1
Creb5,73,151,343,159,cAMP responsive element binding protein 5
Tril,39,48,31,41,TLR4 interactor with leucine-rich repeats
Cpvl,0,0,0,0,"carboxypeptidase, vitellogenic-like"
Chn2,30,38,261,21,chimerin 2
Prr15,12,1,5,4,proline rich 15
Wipf3,6,12,5,0,"WAS/WASL interacting protein family, member 3"
Scrn1,46,467,163,111,secernin 1
Fkbp14,407,877,411,546,FK506 binding protein 14
Plekha8,471,454,543,274,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8"
Mturn,159,268,267,87,"maturin, neural progenitor differentiation regulator homolog (Xenopus)"
Znrf2,551,810,830,360,zinc and ring finger 2
Nod1,216,578,191,140,nucleotide-binding oligomerization domain containing 1
Ggct,158,114,109,49,gamma-glutamyl cyclotransferase
Gars1,6658,6372,13241,7252,glycyl-tRNA synthetase 1
Crhr2,0,0,0,0,corticotropin releasing hormone receptor 2
Inmt,0,316,60,0,indolethylamine N-methyltransferase
Mindy4,218,112,260,154,MINDY lysine 48 deubiquitinase 4
Aqp1,2210,264,101,112,aquaporin 1
Ghrhr,0,0,0,0,growth hormone releasing hormone receptor
Adcyap1r1,1,1741,378,159,adenylate cyclase activating polypeptide 1 receptor 1
Neurod6,0,0,0,0,neurogenic differentiation 6
Itprid1,0,3,0,0,ITPR interacting domain containing 1
Ppp1r17,0,0,0,0,"protein phosphatase 1, regulatory subunit 17"
Pde1c,9,9,21,0,phosphodiesterase 1C
Lsm5,289,174,378,275,"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated"
Avl9,621,652,623,464,AVL9 cell migration associated
Kbtbd2,852,815,1052,882,kelch repeat and BTB (POZ) domain containing 2
Gm10209,9,2,5,2,predicted gene 10209
Fkbp9,3892,6530,4994,6793,FK506 binding protein 9
Nt5c3,613,341,664,432,"5'-nucleotidase, cytosolic III"
Vmn1r4,2,0,0,4,vomeronasal 1 receptor 4
Vmn1r5,0,0,0,0,vomeronasal 1 receptor 5
Vmn1r6,0,0,0,0,vomeronasal 1 receptor 6
Vmn1r7,0,0,0,0,vomeronasal 1 receptor 7
Vmn1r8,0,0,0,0,vomeronasal 1 receptor 8
Vmn1r9,0,0,0,0,vomeronasal 1 receptor 9
Vmn1r10,0,0,0,0,vomeronasal 1 receptor 10
Vmn1r11,0,0,0,0,vomeronasal 1 receptor 11
Vmn1r12,0,0,0,0,vomeronasal 1 receptor 12
Vmn1r13,0,0,0,0,vomeronasal 1 receptor 13
Vmn1r14,0,0,0,0,vomeronasal 1 receptor 14
Vmn1r15,0,0,0,0,vomeronasal 1 receptor 15
Vmn1r16,0,0,0,0,vomeronasal 1 receptor 16
Vmn1r17,0,0,0,0,vomeronasal 1 receptor 17
Vmn1r18,0,0,0,0,vomeronasal 1 receptor 18
Vmn1r19,0,0,0,0,vomeronasal 1 receptor 19
Vmn1r20,0,0,0,0,vomeronasal 1 receptor 20
Ppm1k,85,101,168,71,protein phosphatase 1K (PP2C domain containing)
Herc6,321,151,217,182,hect domain and RLD 6
Pyurf,202,207,227,208,Pigy upstream reading frame
Lancl2,415,462,404,488,LanC (bacterial lantibiotic synthetase component C)-like 2
Vopp1,341,1025,692,694,"vesicular, overexpressed in cancer, prosurvival protein 1"
Vmn1r21,0,0,0,0,vomeronasal 1 receptor 21
Vmn1r22,0,0,0,0,vomeronasal 1 receptor 22
Vmn1r23,0,0,0,0,vomeronasal 1 receptor 23
Vmn1r24,0,0,0,0,vomeronasal 1 receptor 24
Vmn1r25,0,0,0,0,vomeronasal 1 receptor 25
Vmn1r26,0,0,0,0,vomeronasal 1 receptor 26
Vmn1r27,0,0,0,0,vomeronasal 1 receptor 27
Vmn1r28,0,0,0,0,vomeronasal 1 receptor 28
Vmn1r29,0,0,0,0,vomeronasal 1 receptor 29
Vmn1r30,0,0,0,0,vomeronasal 1 receptor 30
Vmn1r31,0,0,0,0,vomeronasal 1 receptor 31
Abcg2,351,1375,827,763,ATP binding cassette subfamily G member 2 (Junior blood group)
Herc3,171,277,256,347,hect domain and RLD 3
Nap1l5,9,15,8,17,nucleosome assembly protein 1-like 5
Fam13a,69,12,27,12,"family with sequence similarity 13, member A"
Tigd2,277,268,448,332,tigger transposable element derived 2
Gprin3,10,123,70,32,GPRIN family member 3
Snca,0,5,18,9,"synuclein, alpha"
Mmrn1,0,58,6,11,multimerin 1
Ccser1,0,7,10,13,coiled-coil serine rich 1
Grid2,0,2,4,1,"glutamate receptor, ionotropic, delta 2"
Atoh1,0,0,0,0,atonal bHLH transcription factor 1
Smarcad1,871,933,908,708,SNF2 related chromatin remodeling ATPase with DExD box 1
Hpgds,4,4,15,4,hematopoietic prostaglandin D synthase
Qrfprl,0,0,1,0,pyroglutamylated RFamide peptide receptor like
Tnip3,1,3,5,10,TNFAIP3 interacting protein 3
Ndnf,141,36,58,27,neuron-derived neurotrophic factor
Prdm5,244,200,351,217,PR domain containing 5
4930544G11Rik,0,0,0,0,RIKEN cDNA 4930544G11 gene
Mad2l1,1703,1413,1504,1198,MAD2 mitotic arrest deficient-like 1
Vmn1r32,1,0,3,0,vomeronasal 1 receptor 32
Vmn1r33,0,0,0,0,vomeronasal 1 receptor 33
Vmn1r34,0,0,0,0,vomeronasal 1 receptor 34
Vmn1r35,0,1,0,0,vomeronasal 1 receptor 35
Vmn1r36,0,0,0,0,vomeronasal 1 receptor 36
Vmn1r37,0,0,0,0,vomeronasal 1 receptor 37
Vmn1r38,0,0,0,0,vomeronasal 1 receptor 38
Vmn1r39,0,0,0,0,vomeronasal 1 receptor 39
Gng12,2739,8151,6436,4578,"guanine nucleotide binding protein (G protein), gamma 12"
Gadd45a,338,191,1105,280,growth arrest and DNA-damage-inducible 45 alpha
Serbp1,12340,9355,14006,11265,serpine1 mRNA binding protein 1
Il12rb2,69,48,66,42,"interleukin 12 receptor, beta 2"
Il23r,0,1,0,0,interleukin 23 receptor
Tacstd2,5,19,36,0,tumor-associated calcium signal transducer 2
Rpia,406,285,442,342,ribose 5-phosphate isomerase A
Eif2ak3,535,732,703,493,eukaryotic translation initiation factor 2 alpha kinase 3
Spmip9,0,0,0,0,sperm microtubule inner protein 9
Foxi3,0,0,0,0,forkhead box I3
Rpl34-ps1,6314,3379,8009,3877,"ribosomal protein L34, pseudogene 1"
Thnsl2,23,99,95,40,threonine synthase-like 2 (bacterial)
Fabp1,0,0,0,0,"fatty acid binding protein 1, liver"
Smyd1,6,10,3,1,SET and MYND domain containing 1
Krcc1,587,820,829,617,lysine-rich coiled-coil 1
Gm1070,1,2,2,3,predicted gene 1070
Cd8b1,4,0,0,0,CD8 subunit beta 1
Cd8a,13,0,0,0,CD8 subunit alpha
Rmnd5a,2005,875,2775,1193,required for meiotic nuclear division 5 homolog A
Rnf103,287,596,352,358,ring finger protein 103
Chmp3,1305,1554,1403,1232,charged multivesicular body protein 3
Kdm3a,1155,715,960,1042,lysine (K)-specific demethylase 3A
Reep1,33,123,84,31,receptor accessory protein 1
Mrpl35,536,550,727,525,mitochondrial ribosomal protein L35
Immt,3587,3034,3824,3045,"inner membrane protein, mitochondrial"
Ptcd3,1985,1329,2942,1816,pentatricopeptide repeat domain 3
Polr1a,3227,2098,2623,2457,polymerase (RNA) I polypeptide A
St3gal5,1233,586,403,163,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5"
Atoh8,311,959,128,152,atonal bHLH transcription factor 8
Sftpb,0,0,0,0,surfactant associated protein B
Usp39,1494,1541,2134,1663,ubiquitin specific peptidase 39
0610030E20Rik,478,312,597,282,RIKEN cDNA 0610030E20 gene
Tmem150a,112,470,241,223,transmembrane protein 150A
Rnf181,930,1236,1113,944,ring finger protein 181
Vamp5,185,299,76,43,vesicle-associated membrane protein 5
Vamp8,516,588,380,417,vesicle-associated membrane protein 8
Ggcx,403,841,634,625,gamma-glutamyl carboxylase
Mat2a,4656,3898,3635,3712,methionine adenosyltransferase 2A
Sh2d6,5,15,52,44,SH2 domain containing 6
Capg,665,1825,909,1462,"capping actin protein, gelsolin like"
Elmod3,218,160,274,168,ELMO/CED-12 domain containing 3
Retsat,487,444,861,526,"retinol saturase (all trans retinol 13,14 reductase)"
Tgoln1,2214,3671,2809,2370,trans-golgi network protein
Tcf7l1,885,589,615,545,"transcription factor 7 like 1 (T cell specific, HMG box)"
Kcmf1,1698,1663,2009,1729,potassium channel modulatory factor 1
Tmsb10,5693,7799,5884,8468,thymosin beta 10
Dnah6,3,4,2,5,"dynein, axonemal, heavy chain 6"
Suclg1,1887,1170,1855,1185,"succinate-CoA ligase, GDP-forming, alpha subunit"
Gm40378,49,109,16,17,"predicted gene, 40378"
Jkampl,0,0,0,0,JNK1/MAPK8 associated membrane protein like
Gm44126,36,38,44,24,"predicted gene, 44126"
Ctnna2,0,4,12,0,catenin alpha 2
Lrrtm1,0,1,0,0,leucine rich repeat transmembrane neuronal 1
Gm5576,14,16,10,16,predicted pseudogene 5576
Reg3b,0,0,0,0,regenerating islet-derived 3 beta
Reg3d,0,0,0,0,regenerating islet-derived 3 delta
Reg3a,0,0,0,0,regenerating islet-derived 3 alpha
Reg2,0,0,0,0,regenerating islet-derived 2
Reg1,0,0,0,0,regenerating islet-derived 1
Reg3g,0,0,0,0,regenerating islet-derived 3 gamma
Mtrnr2l7,3,0,0,0,mt-Rnr2 like 7
Lrrtm4,0,6,0,0,leucine rich repeat transmembrane neuronal 4
Gcfc2,207,194,232,157,GC-rich sequence DNA binding factor 2
Mrpl19,722,521,827,521,mitochondrial ribosomal protein L19
Eva1a,787,139,390,56,"eva-1 homolog A, regulator of programmed cell death"
Tacr1,1,19,2,0,tachykinin receptor 1
Pole4,890,1148,863,841,"polymerase (DNA-directed), epsilon 4 (p12 subunit)"
Hk2,2957,3086,1965,1830,hexokinase 2
Sema4f,10,25,52,7,"sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain"
M1ap,7,7,2,12,meiosis 1 associated protein
Dok1,155,664,419,566,docking protein 1
Loxl3,66,1511,438,818,lysyl oxidase-like 3
Htra2,1195,1140,1525,1223,HtrA serine peptidase 2
Aup1,1653,1558,2364,1443,ancient ubiquitous protein 1
Dqx1,19,8,28,17,DEAQ RNA-dependent ATPase
Tlx2,0,0,0,0,"T cell leukemia, homeobox 2"
Pcgf1,201,126,217,141,polycomb group ring finger 1
Lbx2,2,0,0,1,ladybird homeobox 2
Ccdc142,96,63,133,79,coiled-coil domain containing 142
Mrpl53,722,444,668,428,mitochondrial ribosomal protein L53
Mogs,2849,1435,3204,1360,mannosyl-oligosaccharide glucosidase
Wbp1,415,498,598,544,WW domain binding protein 1
Ino80b,460,330,468,304,INO80 complex subunit B
Rtkn,398,245,535,214,rhotekin
Wdr54,49,46,99,64,WD repeat domain 54
1700003E16Rik,13,9,23,13,RIKEN cDNA 1700003E16 gene
Dctn1,2816,3735,3423,2844,dynactin 1
Slc4a5,4,2,14,5,"solute carrier family 4, sodium bicarbonate cotransporter, member 5"
Mthfd2,2519,2193,4866,2607,"methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase"
Mob1a,2981,4297,4420,3767,MOB kinase activator 1A
Bola3,372,419,463,326,bolA family member 3
Tet3,1790,988,1707,1161,tet methylcytosine dioxygenase 3
Dguok,203,174,291,194,deoxyguanosine kinase
Actg2,2384,20180,1886,6647,"actin, gamma 2, smooth muscle, enteric"
Stambp,311,475,340,293,STAM binding protein
Clec4f,0,0,0,0,"C-type lectin domain family 4, member f"
Cd207,0,0,0,0,CD207 antigen
Vax2,3,5,0,6,ventral anterior homeobox 2
Atp6v1b1,22,0,0,0,"ATPase, H+ transporting, lysosomal V1 subunit B1"
Ankrd53,6,0,2,3,ankyrin repeat domain 53
Tex261,1563,2190,1893,1612,testis expressed gene 261
Nagk,165,842,352,495,N-acetylglucosamine kinase
Paip2b,1418,799,1444,955,poly(A) binding protein interacting protein 2B
Zfp638,1973,1710,1953,1467,zinc finger protein 638
Dysf,303,2501,305,883,dysferlin
Cyp26b1,1133,1108,290,27,"cytochrome P450, family 26, subfamily b, polypeptide 1"
Exoc6b,422,846,649,729,exocyst complex component 6B
Spr,662,1114,582,803,sepiapterin reductase
Emx1,0,0,0,0,empty spiracles homeobox 1
Sfxn5,76,88,164,191,sideroflexin 5
Rab11fip5,173,1032,499,708,RAB11 family interacting protein 5 (class I)
Noto,0,0,0,0,notochord homeobox
Smyd5,1188,1212,1436,1224,SET and MYND domain containing 5
Pradc1,208,228,239,166,protease-associated domain containing 1
Cct7,7964,7597,9264,8904,chaperonin containing TCP1 subunit 7
Fbxo41,0,5,8,5,F-box protein 41
Egr4,0,12,0,0,early growth response 4
Alms1,463,417,551,578,"ALMS1, centrosome and basal body associated"
Nat8f7,0,5,5,14,N-acetyltransferase 8 (GCN5-related) family member 7
Nat8f3,3,7,2,18,N-acetyltransferase 8 (GCN5-related) family member 3
Nat8f6,1,4,0,9,N-acetyltransferase 8 (GCN5-related) family member 6
Nat8f5,0,0,0,2,N-acetyltransferase 8 (GCN5-related) family member 5
Nat8,2,1,3,0,N-acetyltransferase 8 (GCN5-related)
Ptges3-ps,769,604,962,728,"prostaglandin E synthase 3, pseudogene"
Nat8f2,3,2,2,0,N-acetyltransferase 8 (GCN5-related) family member 2
Nat8f4,35,9,59,17,N-acetyltransferase 8 (GCN5-related) family member 4
Nat8f1,36,15,39,20,N-acetyltransferase 8 (GCN5-related) family member 1
Tprkb,861,662,1348,744,Tp53rk binding protein
Dusp11,2389,1879,3299,1994,dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)
Figla,0,0,0,0,folliculogenesis specific basic helix-loop-helix
Add2,0,34,22,15,adducin 2
Tgfa,70,89,64,1,transforming growth factor alpha
Fam136a,868,704,1587,912,"family with sequence similarity 136, member A"
Snrpg,1280,836,1488,1177,small nuclear ribonucleoprotein polypeptide G
Pcyox1,1339,3182,3013,3292,prenylcysteine oxidase 1
Tia1,1297,878,1527,998,cytotoxic granule-associated RNA binding protein 1
C87436,454,283,402,230,expressed sequence C87436
Pcbp1,8555,7090,10208,7353,poly(rC) binding protein 1
Asprv1,14,0,6,0,"aspartic peptidase, retroviral-like 1"
Mxd1,315,152,181,110,MAX dimerization protein 1
Snrnp27,600,468,952,550,small nuclear ribonucleoprotein 27 (U4/U6.U5)
Gmcl1,490,580,700,621,"germ cell-less, spermatogenesis associated 1"
Anxa4,1232,1682,1327,1420,annexin A4
Aak1,1631,2334,2420,2034,AP2 associated kinase 1
Nfu1,476,584,595,463,NFU1 iron-sulfur cluster scaffold
Gfpt1,1759,2206,1991,2140,glutamine fructose-6-phosphate transaminase 1
Antxr1,2025,2580,1423,3234,anthrax toxin receptor 1
Gkn1,0,0,0,0,gastrokine 1
Gkn2,0,0,0,0,gastrokine 2
Gkn3,0,0,0,0,gastrokine 3
Bmp10,2,0,0,0,bone morphogenetic protein 10
Arhgap25,43,21,7,11,Rho GTPase activating protein 25
Prokr1,24,29,109,46,prokineticin receptor 1
Aplf,185,185,282,178,aprataxin and PNKP like factor
Cfap92,9,2,1,0,cilia and flagella associated protein 92
Efcc1,21,7,12,2,EF hand and coiled-coil domain containing 1
Gp9,0,0,0,0,glycoprotein 9 platelet
Rab43,349,780,739,582,"RAB43, member RAS oncogene family"
Isy1,1322,832,1503,1025,ISY1 splicing factor homolog
Cnbp,11023,6982,12962,8477,cellular nucleic acid binding protein
Copg1,4262,5783,4943,5781,"coatomer protein complex, subunit gamma 1"
Hmces,552,426,761,499,"5-hydroxymethylcytosine (hmC) binding, ES cell specific"
H1f10,903,474,612,700,H1.10 linker histone
Rab7,3877,6084,4625,4454,"RAB7, member RAS oncogene family"
Rpn1,5178,5588,7317,6709,ribophorin I
Gata2,342,1308,373,721,GATA binding protein 2
Dnajb8,0,0,0,0,DnaJ heat shock protein family (Hsp40) member B8
Gm57776,0,0,2,2,"predicted gene, 57776"
Eefsec,362,327,637,318,"eukaryotic elongation factor, selenocysteine-tRNA-specific"
Ruvbl1,2781,1396,2548,2169,RuvB-like AAA ATPase 1
Gm46965,43,14,28,27,"predicted gene, 46965"
Sec61a1,6578,8844,7950,8035,SEC61 translocon subunit alpha 1
Kbtbd12,0,9,1,5,kelch repeat and BTB (POZ) domain containing 12
Mgll,293,2389,350,232,monoglyceride lipase
Abtb1,1078,113,280,150,ankyrin repeat and BTB domain containing 1
Podxl2,739,97,180,115,podocalyxin-like 2
Mcm2,4654,2417,3536,3068,minichromosome maintenance complex component 2
Tpra1,468,353,564,281,"transmembrane protein, adipocyte asscociated 1"
Plxna1,5468,5900,2844,3384,plexin A1
Chchd6,374,185,396,201,coiled-coil-helix-coiled-coil-helix domain containing 6
Txnrd3,312,202,295,282,thioredoxin reductase 3
Vmn1r40,0,0,0,4,vomeronasal 1 receptor 40
Vmn1r41,0,0,0,0,vomeronasal 1 receptor 41
Vmn1r42,0,0,0,0,vomeronasal 1 receptor 42
Vmn1r43,0,0,0,0,vomeronasal 1 receptor 43
Vmn1r44,1,2,0,1,vomeronasal 1 receptor 44
Vmn1r45,0,1,0,1,vomeronasal 1 receptor 45
Vmn1r46,0,0,0,0,vomeronasal 1 receptor 46
Vmn1r47,0,0,0,0,vomeronasal 1 receptor 47
Vmn1r48,0,0,0,0,vomeronasal 1 receptor 48
Vmn1r49,0,0,0,0,"vomeronasal 1, receptor 49"
Vmn1r50,0,0,0,0,vomeronasal 1 receptor 50
Vmn1r51,2,16,0,6,vomeronasal 1 receptor 51
Vmn1r52,0,0,0,1,vomeronasal 1 receptor 52
V1ra8,0,0,0,0,"vomeronasal 1 receptor, A8"
Vmn1r53,4,32,5,34,vomeronasal 1 receptor 53
Vmn1r54,0,0,0,0,vomeronasal 1 receptor 54
BC048671,3,0,2,0,cDNA sequence BC048671
Chst13,91,40,15,27,carbohydrate sulfotransferase 13
Uroc1,2,24,19,3,urocanase domain containing 1
Zxdc,368,575,606,390,ZXD family zinc finger C
Cfap100,13,56,29,23,cilia and flagella associated protein 100
Klf15,235,115,540,101,Kruppel-like transcription factor 15
Aldh1l1,44,129,157,191,"aldehyde dehydrogenase 1 family, member L1"
Slc41a3,41,206,93,91,"solute carrier family 41, member 3"
Iqsec1,1954,1834,895,997,IQ motif and Sec7 domain 1
Nup210,794,160,1605,55,nucleoporin 210
Hdac11,66,54,230,74,histone deacetylase 11
Fbln2,6137,37592,15273,22715,fibulin 2
Wnt7a,3,19,31,0,"wingless-type MMTV integration site family, member 7A"
Chchd4,915,582,922,530,coiled-coil-helix-coiled-coil-helix domain containing 4
Tmem43,768,2582,1129,1493,transmembrane protein 43
Xpc,323,260,511,261,"xeroderma pigmentosum, complementation group C"
Lsm3,977,633,786,682,"LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated"
Slc6a6,11908,7817,4082,5273,"solute carrier family 6 (neurotransmitter transporter, taurine), member 6"
Grip2,4,0,0,1,glutamate receptor interacting protein 2
Ccdc174,367,234,374,280,coiled-coil domain containing 174
4930590J08Rik,15,3,3,5,RIKEN cDNA 4930590J08 gene
Fgd5,26,203,48,14,"FYVE, RhoGEF and PH domain containing 5"
Nr2c2,488,519,660,490,"nuclear receptor subfamily 2, group C, member 2"
Mrps25,560,470,616,475,mitochondrial ribosomal protein S25
Rbsn,792,856,1353,911,"rabenosyn, RAB effector"
Trh,0,0,4,0,thyrotropin releasing hormone
Gm44803,0,0,0,0,predicted gene 44803
Prickle2,279,327,181,175,prickle planar cell polarity protein 2
Adamts9,537,1229,198,564,ADAM metallopeptidase with thrombospondin type 1 motif 9
Magi1,568,346,477,289,"membrane associated guanylate kinase, WW and PDZ domain containing 1"
Slc25a26,335,110,239,151,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 26"
Lrig1,1145,1150,2902,1867,leucine-rich repeats and immunoglobulin-like domains 1
Kbtbd8,177,64,99,59,kelch repeat and BTB (POZ) domain containing 8
Suclg2,1544,981,2618,1650,"succinate-Coenzyme A ligase, GDP-forming, beta subunit"
Tafa1,0,2,2,11,TAFA chemokine like family member 1
Tafa4,0,0,0,0,TAFA chemokine like family member 4
Eogt,180,1291,526,476,EGF domain specific O-linked N-acetylglucosamine transferase
Tmf1,778,1269,1074,1109,TATA element modulatory factor 1
Uba3,1673,1656,3335,1984,ubiquitin-like modifier activating enzyme 3
Arl6ip5,1732,1715,1857,1423,ADP-ribosylation factor-like 6 interacting protein 5
Lmod3,0,2,0,0,leiomodin 3 (fetal)
Frmd4b,285,170,92,10,FERM domain containing 4B
Mitf,150,202,1171,207,melanogenesis associated transcription factor
Mdfic2,4,0,11,3,MyoD family inhibitor domain containing 2
Foxp1,896,2813,2299,2284,forkhead box P1
Eif4e3,188,224,271,221,eukaryotic translation initiation factor 4E member 3
Gpr27,1,16,1,1,G protein-coupled receptor 27
Prok2,2,0,4,0,prokineticin 2
Rybp,1753,1062,1723,1014,RING1 and YY1 binding protein
Shq1,392,229,526,324,SHQ1 homolog (S. cerevisiae)
Gxylt2,1169,664,223,1646,glucoside xylosyltransferase 2
Ppp4r2,2207,2414,3140,2796,"protein phosphatase 4, regulatory subunit 2"
Pdzrn3,1170,2336,1275,1895,PDZ domain containing RING finger 3
Cntn3,0,0,0,0,contactin 3
Chl1,1,37,417,347,cell adhesion molecule L1-like
Cntn6,0,0,7,0,contactin 6
Cntn4,1,3,1,10,contactin 4
Il5ra,0,0,0,0,"interleukin 5 receptor, alpha"
Trnt1,917,656,1296,680,"tRNA nucleotidyl transferase, CCA-adding, 1"
Crbn,309,243,374,241,cereblon
Lrrn1,0,37,5,0,"leucine rich repeat protein 1, neuronal"
Setmar,68,43,38,32,SET domain without mariner transposase fusion
Sumf1,768,1109,688,844,sulfatase modifying factor 1
Itpr1,2606,1992,1350,1172,"inositol 1,4,5-trisphosphate receptor 1"
Bhlhe40,1091,1502,1910,1336,"basic helix-loop-helix family, member e40"
Arl8b,1411,1817,2110,1960,ADP-ribosylation factor-like 8B
Edem1,970,2664,1664,2067,"ER degradation enhancer, mannosidase alpha-like 1"
Gm6749,10,2,10,4,predicted pseudogene 6749
Grm7,0,0,0,22,"glutamate receptor, metabotropic 7"
Lmcd1,176,1911,450,225,LIM and cysteine-rich domains 1
Ssu2,1,2,0,0,ssu-2 homolog
Cav3,20,90,8,1,caveolin 3
Oxtr,8,302,397,7,oxytocin receptor
Rad18,648,917,1116,791,RAD18 E3 ubiquitin protein ligase
Srgap3,118,926,597,335,SLIT-ROBO Rho GTPase activating protein 3
Thumpd3,627,504,759,492,THUMP domain containing 3
Setd5,2479,2516,3484,2762,SET domain containing 5
Lhfpl4,0,9,2,6,lipoma HMGIC fusion partner-like protein 4
Mtmr14,651,779,668,480,myotubularin related protein 14
Cpne9,1,0,2,0,copine family member IX
Brpf1,951,787,1072,923,"bromodomain and PHD finger containing, 1"
Ogg1,358,260,392,318,8-oxoguanine DNA-glycosylase 1
Camk1,223,766,599,588,calcium/calmodulin-dependent protein kinase I
Tada3,679,810,610,626,transcriptional adaptor 3
Arpc4,1358,3094,1792,2112,"actin related protein 2/3 complex, subunit 4"
Ttll3,42,51,28,72,"tubulin tyrosine ligase-like family, member 3"
Rpusd3,114,145,141,99,RNA pseudouridylate synthase domain containing 3
Cidec,0,0,2,0,cell death-inducing DFFA-like effector c
Jagn1,877,947,838,691,jagunal homolog 1
Il17re,1,0,1,1,interleukin 17 receptor E
Il17rc,601,578,308,593,interleukin 17 receptor C
Creld1,554,665,690,526,cysteine-rich with EGF-like domains 1
Prrt3,4,6,5,10,proline-rich transmembrane protein 3
Emc3,1316,2241,1956,1512,ER membrane protein complex subunit 3
Fancd2,755,468,876,479,"Fanconi anemia, complementation group D2"
Fancd2os,1,0,0,0,Fancd2 opposite strand
Brk1,1154,1414,1618,1330,"BRICK1, SCAR/WAVE actin-nucleating complex subunit"
Vhl,603,429,680,503,von Hippel-Lindau tumor suppressor
Irak2,299,662,434,571,interleukin-1 receptor-associated kinase 2
Tatdn2,1272,1795,1703,1505,TatD DNase domain containing 2
Ghrl,11,10,17,3,ghrelin
Sec13,2241,2519,2093,2456,"SEC13 homolog, nuclear pore and COPII coat complex component"
Atp2b2,5,2,0,0,"ATPase, Ca++ transporting, plasma membrane 2"
Slc6a11,0,0,0,0,"solute carrier family 6 (neurotransmitter transporter, GABA), member 11"
Slc6a1,0,0,0,0,"solute carrier family 6 (neurotransmitter transporter, GABA), member 1"
Hrh1,27,17,4,17,histamine receptor H1
Atg7,278,392,373,276,autophagy related 7
Vgll4,1055,655,1045,662,vestigial like family member 4
